,PlayerIDSID,PlayerFirstName,PlayerLastName,PlayerNumber,P,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,GP,Poss,Time,Points,FGA,FGM,PPP,WorsePPP,BetterPPP,PossG,PPG,FGAG,FGMG,FGmG,FGm,FG,aFG,FT,TO,SF,PlusOne,Score
10,201935,James,Harden,13,G,1610612745,Houston Rockets,HOU,Houston,43,298,24.62809944152832,272,179,80,0.9127519726753235,187,38,6.930232558139535,6.325581395348837,4.162790697674419,1.8604651162790697,2.3023255813953494,99,44.6927374301676,48.60335195530726,17.78523489932886,23.48993288590604,15.100671140939598,1.6778523489932886,42.95302013422819
11,101150,Louis,Williams,23,G,1610612747,Los Angeles Lakers,LAL,LALakers,41,264,42.996700286865234,255,179,71,0.9659090042114258,200,25,6.439024390243903,6.219512195121951,4.365853658536586,1.7317073170731707,2.634146341463415,108,39.66480446927374,45.25139664804469,21.59090909090909,12.878787878787879,20.833333333333332,2.272727272727273,45.833333333333336
12,202339,Eric,Bledsoe,2,G,1610612756,Phoenix Suns,PHX,Phoenix,31,259,38.200599670410156,252,190,91,0.9729729890823364,206,19,8.35483870967742,8.129032258064516,6.129032258064516,2.935483870967742,3.193548387096774,99,47.89473684210526,52.63157894736842,11.196911196911197,17.76061776061776,9.652509652509652,2.3166023166023164,44.01544401544402
13,202738,Isaiah,Thomas,4,G,1610612738,Boston Celtics,BOS,Boston,42,294,31.612899780273438,252,213,83,0.857142984867096,159,65,7.0,6.0,5.071428571428571,1.9761904761904763,3.095238095238095,130,38.967136150234744,42.01877934272301,14.285714285714286,14.285714285714286,9.183673469387756,1.0204081632653061,41.49659863945578
14,2225,Tony,Parker,9,G,1610612759,San Antonio Spurs,SAS,SanAntonio,39,251,50.50299835205078,250,200,111,0.9960160255432129,208,17,6.435897435897436,6.410256410256411,5.128205128205129,2.8461538461538463,2.2820512820512824,89,55.5,55.75,6.374501992031872,14.342629482071713,4.780876494023905,0.398406374501992,49.800796812749006
15,2548,Dwyane,Wade,3,G,1610612748,Miami Heat,MIA,Miami,40,296,36.679100036621094,240,229,94,0.8108109831809998,140,84,7.4,6.0,5.725,2.35,3.3749999999999996,135,41.048034934497814,41.26637554585153,10.81081081081081,12.837837837837839,9.45945945945946,1.0135135135135136,41.554054054054056
16,200768,Kyle,Lowry,7,G,1610612761,Toronto Raptors,TOR,Toronto,41,298,34.292301177978516,236,219,83,0.7919459939002991,129,96,7.2682926829268295,5.7560975609756095,5.341463414634147,2.024390243902439,3.3170731707317076,136,37.89954337899543,42.694063926940636,10.06711409395973,17.78523489932886,8.389261744966444,1.342281879194631,36.241610738255034
17,202710,Jimmy,Butler,21,G-F,1610612741,Chicago Bulls,CHI,Chicago,40,267,30.654399871826172,234,194,75,0.8764050006866455,171,54,6.675,5.85,4.85,1.875,2.9749999999999996,119,38.65979381443299,41.23711340206186,17.228464419475657,12.359550561797754,15.730337078651685,2.247191011235955,42.69662921348315
18,201950,Jrue,Holiday,11,G,1610612740,New Orleans Pelicans,NOP,NewOrleans,35,256,49.13629913330078,228,209,91,0.890625,179,46,7.314285714285714,6.514285714285714,5.9714285714285715,2.6,3.3714285714285714,118,43.54066985645933,47.60765550239235,8.203125,12.5,7.03125,2.34375,41.40625
19,201565,Derrick,Rose,1,G,1610612741,Chicago Bulls,CHI,Chicago,34,295,45.66559982299805,225,244,99,0.7627120018005371,110,115,8.676470588235293,6.617647058823529,7.176470588235294,2.911764705882353,4.264705882352942,145,40.57377049180328,40.778688524590166,7.796610169491525,12.542372881355933,7.11864406779661,3.0508474576271185,37.96610169491525
20,203903,Jordan ,Clarkson,6,G,1610612747,Los Angeles Lakers,LAL,LALakers,41,261,37.99129867553711,222,210,94,0.8505749702453613,153,72,6.365853658536586,5.414634146341464,5.121951219512195,2.292682926829268,2.829268292682927,116,44.76190476190476,45.0,9.195402298850574,11.494252873563218,8.42911877394636,1.5325670498084292,43.67816091954023
21,101145,Monta,Ellis,11,G,1610612754,Indiana Pacers,IND,Indiana,42,267,38.472599029541016,208,211,89,0.7790259718894958,123,102,6.357142857142857,4.9523809523809526,5.023809523809524,2.119047619047619,2.9047619047619047,122,42.18009478672986,44.312796208530806,6.367041198501872,16.10486891385768,4.868913857677903,1.4981273408239701,37.453183520599254
22,203471,Dennis,Schroder,17,G,1610612737,Atlanta Hawks,ATL,Atlanta,40,283,56.26240158081055,206,212,79,0.7279149889945984,97,128,7.075,5.15,5.3,1.975,3.3249999999999997,133,37.264150943396224,39.62264150943396,8.480565371024735,16.96113074204947,7.420494699646643,0.35335689045936397,36.042402826855124
23,201952,Jeff,Teague,0,G,1610612737,Atlanta Hawks,ATL,Atlanta,39,263,41.15810012817383,204,193,73,0.7756649851799011,118,107,6.743589743589744,5.230769230769231,4.948717948717949,1.8717948717948718,3.076923076923077,120,37.82383419689119,40.15544041450777,11.787072243346008,16.34980988593156,11.787072243346008,1.9011406844106464,37.6425855513308
24,202331,Paul,George,13,F-G,1610612754,Indiana Pacers,IND,Indiana,42,231,22.1476993560791,201,174,74,0.8701300024986267,168,57,5.5,4.785714285714286,4.142857142857143,1.7619047619047619,2.3809523809523814,100,42.52873563218391,49.13793103448276,7.792207792207792,18.181818181818183,6.0606060606060606,1.2987012987012987,38.52813852813853
25,201144,Mike,Conley,11,G,1610612763,Memphis Grizzlies,MEM,Memphis,37,245,41.66669845581055,196,197,68,0.800000011920929,131,91,6.621621621621622,5.297297297297297,5.324324324324325,1.837837837837838,3.486486486486487,129,34.51776649746193,37.055837563451774,11.83673469387755,8.571428571428571,8.571428571428571,0.8163265306122449,38.775510204081634
26,200765,Rajon,Rondo,9,G,1610612758,Sacramento Kings,SAC,Sacramento,38,250,41.18619918823242,185,179,86,0.7400000095367432,103,122,6.578947368421052,4.868421052631579,4.7105263157894735,2.263157894736842,2.4473684210526314,93,48.04469273743017,49.16201117318436,4.8,24.8,3.6,1.2,36.8
27,101127,Jarrett,Jack,2,G,1610612751,Brooklyn Nets,BKN,Brooklyn,32,217,43.927101135253906,180,150,65,0.82949298620224,146,79,6.78125,5.625,4.6875,2.03125,2.65625,85,43.333333333333336,46.0,10.599078341013826,21.19815668202765,6.451612903225806,0.9216589861751152,39.63133640552996
