,min_defense,stl_defense,blk_defense,dreb_defense,def_rim_fgm_defense,def_rim_fga_defense,def_rim_fg_pct_defense,player_id,team_id,gp,min_painttouch,touches_painttouch,paint_touches_painttouch,paint_touch_fgm_painttouch,paint_touch_fga_painttouch,paint_touch_fg_pct_painttouch,paint_touch_ftm_painttouch,paint_touch_fta_painttouch,paint_touch_ft_pct_painttouch,paint_touch_pts_painttouch,paint_touch_pts_pct_painttouch,paint_touch_passes_painttouch,paint_touch_passes_pct_painttouch,paint_touch_ast_painttouch,paint_touch_ast_pct_painttouch,paint_touch_tov_painttouch,paint_touch_tov_pct_painttouch,paint_touch_fouls_painttouch,paint_touch_fouls_pct_painttouch,poss_offscreen,time_offscreen,points_offscreen,fga_offscreen,fgm_offscreen,fgm_offscreen,ppp_offscreen,worseppp_offscreen,betterppp_offscreen,possg_offscreen,ppg_offscreen,fgag_offscreen,fgmg_offscreen,fgmg_offscreen,fgmg_offscreen,fgmg_offscreen,fgm_offscreen,fgm_offscreen,fg_offscreen,afg_offscreen,ft_offscreen,to_offscreen,sf_offscreen,plusone_offscreen,score_offscreen,min_pullup,pull_up_fgm_pullup,pull_up_fga_pullup,pull_up_fg_pct_pullup,pull_up_fg3m_pullup,pull_up_fg3a_pullup,pull_up_fg3_pct_pullup,pull_up_pts_pullup,pull_up_efg_pct_pullup,poss_handoff,time_handoff,points_handoff,fga_handoff,fgm_handoff,fgm_handoff,ppp_handoff,worseppp_handoff,betterppp_handoff,possg_handoff,ppg_handoff,fgag_handoff,fgmg_handoff,fgmg_handoff,fgmg_handoff,fgmg_handoff,fgm_handoff,fgm_handoff,fg_handoff,afg_handoff,ft_handoff,to_handoff,sf_handoff,plusone_handoff,score_handoff,points_transition,fga_transition,fgm_transition,fgm_transition,ppp_transition,worseppp_transition,betterppp_transition,poss_transition,time_transition,possg_transition,ppg_transition,fgag_transition,fgmg_transition,fgmg_transition,fgmg_transition,fgmg_transition,fgm_transition,fgm_transition,fg_transition,afg_transition,ft_transition,to_transition,sf_transition,plusone_transition,score_transition,min_passing,passes_made_passing,passes_received_passing,ast_passing,ft_ast_passing,secondary_ast_passing,potential_ast_passing,ast_points_created_passing,ast_adj_passing,ast_to_pass_pct_passing,ast_to_pass_pct_adj_passing,min_speed,min1_speed,dist_feet_speed,dist_miles_speed,dist_miles_off_speed,dist_miles_def_speed,avg_speed_speed,avg_speed_off_speed,avg_speed_def_speed,poss_isolation,time_isolation,points_isolation,fga_isolation,fgm_isolation,fgm_isolation,ppp_isolation,worseppp_isolation,betterppp_isolation,possg_isolation,ppg_isolation,fgag_isolation,fgmg_isolation,fgmg_isolation,fgmg_isolation,fgmg_isolation,fgm_isolation,fgm_isolation,fg_isolation,afg_isolation,ft_isolation,to_isolation,sf_isolation,plusone_isolation,score_isolation,poss_pnr,time_pnr,points_pnr,fga_pnr,fgm_pnr,fgm_pnr,ppp_pnr,worseppp_pnr,betterppp_pnr,possg_pnr,ppg_pnr,fgag_pnr,fgmg_pnr,fgmg_pnr,fgmg_pnr,fgmg_pnr,fgm_pnr,fgm_pnr,fg_pnr,afg_pnr,ft_pnr,to_pnr,sf_pnr,plusone_pnr,score_pnr,points_misc,fga_misc,fgm_misc,fgm_misc,ppp_misc,worseppp_misc,betterppp_misc,poss_misc,time_misc,possg_misc,ppg_misc,fgag_misc,fgmg_misc,fgmg_misc,fgmg_misc,fgmg_misc,fgm_misc,fgm_misc,fg_misc,afg_misc,ft_misc,to_misc,sf_misc,plusone_misc,score_misc,min_possessions,points_possessions,touches_possessions,front_ct_touches_possessions,time_of_poss_possessions,avg_sec_per_touch_possessions,avg_drib_per_touch_possessions,pts_per_touch_possessions,elbow_touches_possessions,post_touches_possessions,paint_touches_possessions,pts_per_elbow_touch_possessions,pts_per_post_touch_possessions,pts_per_paint_touch_possessions,min_rebounding,oreb_rebounding,oreb_contest_rebounding,oreb_uncontest_rebounding,oreb_contest_pct_rebounding,oreb_chances_rebounding,oreb_chance_pct_rebounding,oreb_chance_defer_rebounding,oreb_chance_pct_adj_rebounding,avg_oreb_dist_rebounding,dreb_rebounding,dreb_contest_rebounding,dreb_uncontest_rebounding,dreb_contest_pct_rebounding,dreb_chances_rebounding,dreb_chance_pct_rebounding,dreb_chance_defer_rebounding,dreb_chance_pct_adj_rebounding,avg_dreb_dist_rebounding,reb_rebounding,reb_contest_rebounding,reb_uncontest_rebounding,reb_contest_pct_rebounding,reb_chances_rebounding,reb_chance_pct_rebounding,reb_chance_defer_rebounding,reb_chance_pct_adj_rebounding,avg_reb_dist_rebounding,fgm_putback,fgm_putback,ppp_putback,worseppp_putback,betterppp_putback,poss_putback,time_putback,points_putback,fga_putback,possg_putback,ppg_putback,fgag_putback,fgmg_putback,fgmg_putback,fgmg_putback,fgmg_putback,fgm_putback,fgm_putback,fg_putback,afg_putback,ft_putback,to_putback,sf_putback,plusone_putback,score_putback,poss_rollman,time_rollman,points_rollman,fga_rollman,fgm_rollman,fgm_rollman,ppp_rollman,worseppp_rollman,betterppp_rollman,possg_rollman,ppg_rollman,fgag_rollman,fgmg_rollman,fgmg_rollman,fgmg_rollman,fgmg_rollman,fgm_rollman,fgm_rollman,fg_rollman,afg_rollman,ft_rollman,to_rollman,sf_rollman,plusone_rollman,score_rollman,min_posttouch,touches_posttouch,post_touches_posttouch,post_touch_fgm_posttouch,post_touch_fga_posttouch,post_touch_fg_pct_posttouch,post_touch_ftm_posttouch,post_touch_fta_posttouch,post_touch_ft_pct_posttouch,post_touch_pts_posttouch,post_touch_pts_pct_posttouch,post_touch_passes_posttouch,post_touch_passes_pct_posttouch,post_touch_ast_posttouch,post_touch_ast_pct_posttouch,post_touch_tov_posttouch,post_touch_tov_pct_posttouch,post_touch_fouls_posttouch,post_touch_fouls_pct_posttouch,min_drives,drives_drives,drive_fgm_drives,drive_fga_drives,drive_fg_pct_drives,drive_ftm_drives,drive_fta_drives,drive_ft_pct_drives,drive_pts_drives,drive_pts_pct_drives,drive_passes_drives,drive_passes_pct_drives,drive_ast_drives,drive_ast_pct_drives,drive_tov_drives,drive_tov_pct_drives,drive_pf_drives,drive_pf_pct_drives,poss_spotup,time_spotup,points_spotup,fga_spotup,fgm_spotup,fgm_spotup,ppp_spotup,worseppp_spotup,betterppp_spotup,possg_spotup,ppg_spotup,fgag_spotup,fgmg_spotup,fgmg_spotup,fgmg_spotup,fgmg_spotup,fgm_spotup,fgm_spotup,fg_spotup,afg_spotup,ft_spotup,to_spotup,sf_spotup,plusone_spotup,score_spotup,poss_postup,time_postup,points_postup,fga_postup,fgm_postup,fgm_postup,ppp_postup,worseppp_postup,betterppp_postup,possg_postup,ppg_postup,fgag_postup,fgmg_postup,fgmg_postup,fgmg_postup,fgmg_postup,fgm_postup,fgm_postup,fg_postup,afg_postup,ft_postup,to_postup,sf_postup,plusone_postup,score_postup,min_efficiency,points_efficiency,drive_pts_efficiency,drive_fg_pct_efficiency,catch_shoot_pts_efficiency,catch_shoot_fg_pct_efficiency,pull_up_pts_efficiency,pull_up_fg_pct_efficiency,paint_touch_pts_efficiency,paint_touch_fg_pct_efficiency,post_touch_pts_efficiency,post_touch_fg_pct_efficiency,elbow_touch_pts_efficiency,elbow_touch_fg_pct_efficiency,eff_fg_pct_efficiency,min_elbowtouch,touches_elbowtouch,elbow_touches_elbowtouch,elbow_touch_fgm_elbowtouch,elbow_touch_fga_elbowtouch,elbow_touch_fg_pct_elbowtouch,elbow_touch_ftm_elbowtouch,elbow_touch_fta_elbowtouch,elbow_touch_ft_pct_elbowtouch,elbow_touch_pts_elbowtouch,elbow_touch_pts_pct_elbowtouch,elbow_touch_passes_elbowtouch,elbow_touch_passes_pct_elbowtouch,elbow_touch_ast_elbowtouch,elbow_touch_ast_pct_elbowtouch,elbow_touch_tov_elbowtouch,elbow_touch_tov_pct_elbowtouch,elbow_touch_fouls_elbowtouch,elbow_touch_fouls_pct_elbowtouch
count,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
mean,19.804708520179393,0.6473094170403593,0.4116591928251117,2.714125560538118,1.2744394618834076,2.485201793721974,0.5250403587443938,313908.46412556054,1610612751.4910314,30.024663677130047,19.804708520179393,35.06390134529148,1.1686098654708534,0.42578475336322735,0.686995515695067,0.5269147982062778,0.16726457399103148,0.24013452914798167,0.4760089686098656,1.022645739910314,0.7333452914798205,0.24394618834080678,0.2408991031390136,0.0394618834080717,0.04039910313901346,0.05762331838565027,0.04563901345291479,0.1580717488789238,0.10868609865470856,20.586402266288953,5.899564969387676,19.36543909348442,17.929178470254957,7.28328611898017,10.645892351274787,0.8546020336259188,40.4957507082153,40.4957507082153,0.5846972419447539,0.5381818905643578,0.5092736853633281,0.20238176870036292,0.3068919166629651,0.20238176870036292,0.3068919166629651,7.28328611898017,10.645892351274787,37.55584507813137,43.511528852724915,7.081865334854208,8.210861733045897,5.895966965807369,0.8492631212255419,38.51792923985947,19.804708520179393,0.611434977578475,1.6910313901345293,0.3099955156950674,0.1349775784753365,0.4540358744394616,0.18075784753363236,1.3540358744394616,0.3389910313901343,16.504322766570606,5.303385566222221,14.414985590778098,13.463976945244957,5.412103746397695,8.051873198847263,0.8417095682377087,44.13544668587896,44.13544668587896,0.48884954028366845,0.412901676081697,0.3963423288736852,0.1539705011714375,0.24237182770224772,0.1539705011714375,0.24237182770224772,5.412103746397695,8.051873198847263,39.1277102188945,43.94861307230187,7.641018936807916,11.640707618969731,6.086441320231952,1.3317338593703665,38.34029456737969,46.14519906323185,31.763466042154565,17.173302107728336,14.59016393442623,1.0905143625563145,132.84777517564402,132.84777517564402,42.19672131147541,13.409271066585246,1.2437718959801551,1.3445058397721403,0.9323876584981283,0.5012673742342904,0.4311202842638379,0.5012673742342904,0.4311202842638379,17.173302107728336,14.59016393442623,54.6308638279972,59.296816069413445,14.458203724131403,12.755888638602581,12.392315583756513,2.711368458052365,51.6920149569128,19.804708520179393,25.148878923766812,25.01905829596413,1.7813901345291492,0.1811659192825111,0.44147982062780244,3.5695067264573974,4.229820627802693,2.3968609865470842,0.06476905829596408,0.08753811659192828,19.804663677130034,19.804663677130034,7287.813004484304,1.3802242152466382,0.7459641255605378,0.6343946188340805,4.21181614349776,4.551816143497758,3.8715022421524643,25.560411311053986,6.262274733852299,21.18508997429306,20.383033419023135,7.727506426735219,12.655526992287918,0.7588233951584539,55.11568123393316,55.11568123393316,0.7253866945494978,0.5968352255434428,0.579298134715463,0.21855123873723475,0.3607468959782285,0.21855123873723475,0.3607468959782285,7.727506426735219,12.655526992287918,35.163620066039805,37.26885453855307,11.639444944843024,10.913249959707718,10.181542764105016,2.3186616699377685,37.05042027967787,68.78287461773701,18.82027201459313,54.62691131498471,51.91743119266055,21.110091743119266,30.807339449541285,0.6813038613544692,77.62385321100918,77.62385321100918,2.0343137519201173,1.5801890523308713,1.5322625879629903,0.6146100781165037,0.9176525098464859,0.6146100781165037,0.9176525098464859,21.110091743119266,30.807339449541285,34.913737694069376,37.41248933773048,7.963749193698867,18.119558742890572,6.671915637125204,0.990402506249741,32.82739612883109,10.570754716981131,4.589622641509434,1.6933962264150944,2.8962264150943398,0.457714552964734,100.35613207547169,100.35613207547169,20.037735849056602,7.4798438284757,0.6118781962992748,0.30154183755776753,0.13720468311716594,0.04813321621162239,0.08907146690554335,0.04813321621162239,0.08907146690554335,1.6933962264150944,2.8962264150943398,29.492450079174034,31.43298045029992,20.137622652823797,56.95111612788275,2.702350233826083,0.4888411895061803,26.050788286998728,19.803587443946206,8.10022421524663,35.06390134529148,25.707847533632275,1.5948430493273533,2.366995515695067,1.7537219730941715,0.2260448430493274,1.4244394618834095,1.42017937219731,1.1686098654708534,0.28829596412556063,0.6625246636771296,0.7333452914798205,19.803587443946206,0.864125560538116,0.5739910313901336,0.2932735426008967,0.5506883408071748,1.9829596412556045,0.42227354260089695,0.2170403587443946,0.47302017937219726,8.841928251121077,2.714125560538118,0.5852017937219731,2.1336322869955167,0.20236771300448447,4.731614349775784,0.5651591928251118,1.101345291479821,0.7372376681614351,6.314349775784751,3.577130044843047,1.1551569506726458,2.421524663677129,0.28937892376681607,6.70852017937219,0.5310246636771297,1.3172645739910305,0.662174887892377,6.799103139013453,8.241379310344827,7.169950738916256,0.9792630844588938,56.60591133004926,56.60591133004926,18.504926108374384,7.15720243476735,19.588669950738915,15.411330049261084,0.5543097852896419,0.5746498033380693,0.459416794468876,0.24048690792738198,0.21892988654149376,0.24048690792738198,0.21892988654149376,8.241379310344827,7.169950738916256,48.809010465756955,49.91704148029841,10.713801013821968,8.32952622088743,8.738965566644264,1.6974112795965393,49.06188695031683,31.723905723905723,12.34090664157462,32.05723905723906,26.488215488215488,12.993265993265993,13.494949494949495,1.014019078076488,47.56902356902357,47.56902356902357,0.972645006472482,0.9847651191785977,0.8077705982758328,0.3987992280968566,0.4089713701789766,0.3987992280968566,0.4089713701789766,12.993265993265993,13.494949494949495,46.197338688520745,51.96814586329545,9.251473418215406,8.544209366886392,8.51347507822045,1.7994595173715113,46.35505948538643,19.804708520179393,35.06390134529148,1.42017937219731,0.47937219730941594,0.801121076233184,0.5140515695067264,0.18497757847533638,0.2627802690582958,0.47825336322869977,1.1466367713004495,0.6625246636771296,0.347533632286995,0.29871300448430493,0.05852017937219741,0.046791479820627764,0.07421524663677141,0.04598430493273542,0.17959641255605385,0.09787892376681619,19.804708520179393,2.1082959641255603,0.4760089686098646,1.0612107623318383,0.38182735426008974,0.35224215246636714,0.45919282511210713,0.5785246636771303,1.3017937219730944,0.5738699551569506,0.6506726457399105,0.2545717488789238,0.1733183856502242,0.06430044843049328,0.15201793721973128,0.06700896860986548,0.2878923766816137,0.13381838565022425,61.50585480093677,22.772715174481796,58.79859484777518,55.37470725995316,21.0327868852459,34.34192037470726,0.871715381776421,142.59718969555036,142.59718969555036,1.823160565986245,1.7150620754750576,1.6409002279665454,0.6155429003590918,1.0253573276074528,0.6155429003590918,1.0253573276074528,21.0327868852459,34.34192037470726,36.23654295083191,45.114559693841834,4.761279716491946,6.867705787344061,4.188627410560395,0.7279263353581836,36.026901290940955,34.604651162790695,9.834522617170185,29.52159468438538,26.421926910299003,11.574750830564785,14.847176079734218,0.7556233843695682,48.62458471760797,48.62458471760797,1.0057706460874565,0.8458850042944092,0.7656454124908726,0.33060795344218663,0.43503745904868624,0.33060795344218663,0.43503745904868624,11.574750830564785,14.847176079734218,37.041162965701936,37.041162965701936,12.567695532476508,14.157484634434407,9.633317154863548,2.0824548351460974,38.75673547521344,19.804708520179393,8.10022421524663,1.3017937219730944,0.38182735426008974,2.0417040358744396,0.34745515695067225,1.3540358744394616,0.3099955156950674,1.022645739910314,0.5269147982062778,1.1466367713004495,0.5140515695067264,0.41233183856502226,0.3577533632286996,0.47893946188340747,19.804708520179393,35.06390134529148,1.4244394618834095,0.16704035874439466,0.38430493273542515,0.3577533632286996,0.06928251121076251,0.09349775784753388,0.4093318385650224,0.41233183856502226,0.28829596412556063,0.8984304932735421,0.5820717488789241,0.10986547085201825,0.06956053811659194,0.058520179372197376,0.04295515695067264,0.06502242152466382,0.04289237668161436
std,9.620261870353344,0.46488314660891716,0.4719059423454201,1.8319149488185136,0.9970615364975497,2.0758549514386853,0.1558151113637866,445558.5111898585,8.667058146301597,12.325430794445078,9.620261870353344,21.233491078882604,1.3597757069810124,0.552122513957459,0.85199643137807,0.2929746116328507,0.2514768190459286,0.35370142912117614,0.3983020985597947,1.3136630987963085,0.44182578503986625,0.27461374184508264,0.20581000543285655,0.06713178138520093,0.0628571228011137,0.09251881943374038,0.08473741172847014,0.23648142528209587,0.12668971255391054,29.517888197960055,5.633013285075103,30.231298612311726,25.8471924282976,11.229485258494444,14.935537294401891,0.5108793442854562,54.13362684834498,54.193158418680675,0.7453197186380652,0.7689592666760583,0.6564122002076791,0.28637839274214194,0.38343654429555846,0.28637839274214194,0.38343654429555846,11.229485258494444,14.935537294401891,25.17896948042008,28.70035073468599,15.67365881641977,14.339121034759836,13.599568911261233,3.4627343046275034,24.025100075743914,9.620261870353344,0.7757441974049998,2.0064973817158758,0.18285521988863226,0.24756953296689949,0.7290870625498362,0.21035806737872326,1.755010634383742,0.1996278895881178,18.811411454562933,5.1271233806545045,18.044280959934717,15.470305297178419,6.711234038868387,9.15332882408961,0.5759141560071334,56.626415790994365,56.70852954993699,0.4793557948955671,0.4648586182762239,0.3944295270828699,0.1735661099817713,0.24212862231825985,0.1735661099817713,0.24212862231825985,6.711234038868387,9.15332882408961,27.629421471078533,31.038612776697637,13.573160808001674,16.282326841281098,11.78149984067302,6.647542689227156,25.300131202926995,46.37884913497414,30.475076789554493,16.859344634706396,14.54693542484988,0.4051979829225479,110.5763083381597,110.44420665022305,41.07663384918361,7.104606227258085,1.0071207758748206,1.1381838794135926,0.7468554544951812,0.4154106105670109,0.37293486683000077,0.4154106105670109,0.37293486683000077,16.859344634706396,14.54693542484988,21.791535569074092,22.76138147341276,14.268327869262826,12.04482810881047,13.625469014606006,5.982173414807645,19.06030260911666,9.620261870353344,15.41220692619553,17.860927665962055,1.7583416204465467,0.196152850981713,0.38313497876261415,3.38297299323958,4.145378741631885,2.2686211252312107,0.05608519228163988,0.06127350458465107,9.621772419537592,9.621772419537592,3464.8249782526605,0.6561525199142588,0.35776250808780763,0.3005791658403327,0.22787651359160965,0.32783809694148947,0.26622409035828504,37.37645733235007,5.340134950983764,33.358281307005996,29.633670944742114,11.608199608359168,18.419219051200276,0.5229111465882035,67.68018703714307,67.7172295749036,0.9457512971643599,0.8443206698201339,0.7536214119277211,0.29631074778370625,0.47264007440181777,0.29631074778370625,0.47264007440181777,11.608199608359168,18.419219051200276,25.269870965219653,27.167613334443573,15.082940253318256,15.304590649687684,14.965490994452917,7.957377269098869,24.251974341223878,91.85807912038386,16.45348698498064,77.8089622793088,69.93600867020088,29.775645578617755,40.65079713769995,0.4327597633370541,75.1927734001764,75.16302800561085,2.4235103176647272,2.042824369635966,1.8598920064782376,0.7920907950247155,1.086386687743881,0.7920907950247155,1.086386687743881,29.775645578617755,40.65079713769995,22.079141176262617,23.80154457929585,12.716414361168006,16.74221325175606,11.404130537186282,1.9004644923132803,20.733887116302572,11.172606376096962,4.213732570304954,1.9400845131807032,2.7372891122129523,0.3029526300631191,97.47324569650549,97.14534483841443,15.842859860930574,4.874139654169075,0.3920814839653851,0.28420581771582476,0.11344386792633886,0.051989296554225274,0.08181953502712745,0.051989296554225274,0.08181953502712745,1.9400845131807032,2.7372891122129523,28.99177688773621,30.657155218750418,16.663729162294697,21.266180833791783,7.318037609777681,1.8214347592998326,17.779742698821185,9.621370672527856,5.785633112409765,21.233491078882604,18.244489550326772,1.677664333459039,1.2912211570386922,1.6499995379806387,0.08349951359797797,1.5901830930306773,1.5893312745735493,1.3597757069810124,0.31625426029101106,0.4010709237867912,0.44182578503986625,9.621370672527856,0.8142357124537578,0.6390623327093552,0.21867743741756157,0.2600549366307145,1.7511155309864312,0.1547344417969324,0.20406263234133093,0.1662791129760519,5.034605178879477,1.8319149488185136,0.4961477032673335,1.4021937192417628,0.11880233507964338,2.9424610343350563,0.12292993982880368,0.6455016215527408,0.1290359309525742,2.189262951974384,2.515349162197852,1.0772448617492036,1.5584156195349688,0.13915272477828508,4.448624992294112,0.11512083274502972,0.7990683659354852,0.12684083947599903,2.433234145600453,10.952912102491469,8.595042125165524,0.502655928744808,70.09061059346651,69.91679262448916,22.57549694011831,7.250681222772651,25.337733920023478,19.03008066400283,0.5727052785287357,0.6467854938561641,0.4828144222117017,0.2787454027674622,0.23022013152232504,0.2787454027674622,0.23022013152232504,10.952912102491469,8.595042125165524,25.96676803140283,27.372619995814546,14.567580754569935,15.861655262548341,12.917345543694834,4.882189901385394,23.747463285009424,39.12805381698138,11.896589542382852,40.217400216688304,33.33461640992218,16.679813269823214,17.261525959783473,0.6196920565173359,55.512624416896955,55.4614193581361,1.0344274260414223,1.078143603885415,0.8806651593727732,0.4516961706407239,0.4571058487116207,0.4516961706407239,0.4571058487116207,16.679813269823214,17.261525959783473,26.70327055370728,33.0335046352656,12.85421137763761,14.622567356597933,12.346343400708166,4.423554915872529,25.187353066546503,9.620261870353344,21.233491078882604,1.5893312745735493,0.6072783716784417,0.9773495912465763,0.2767242565958798,0.2726867972304233,0.3863460417415522,0.3928207366833359,1.4445635825995773,0.4010709237867912,0.3509610785281011,0.21911488579924918,0.08718601215489415,0.06505519882019853,0.11311200908161063,0.058737712368076574,0.2639557647408189,0.11205148758227591,9.620261870353344,2.505364718087041,0.5949474454443276,1.2429205785037838,0.2288768655077871,0.4898813381831111,0.6076614030135958,0.35626207759128964,1.6178905429722832,0.37410309357631455,0.9039672836456808,0.1887815050217653,0.2662789311780004,0.08180931157559418,0.20097058791182057,0.0704225762467263,0.38093503776619764,0.13005119380275934,49.45369948619502,13.89286292114475,51.768550442544914,44.811814307151295,17.916311776173345,27.619313496060062,0.3295954835603101,113.44828521980278,113.46305800563356,1.1470499999076107,1.2541290461094015,1.0429162568848258,0.43132486569993234,0.6442393229171549,0.43132486569993234,0.6442393229171549,17.916311776173345,27.619313496060062,14.55990329880938,17.802331118937285,6.275886286214021,8.41842572380533,6.011120439296575,2.131550969556097,13.346724216305605,51.21295257674472,10.521057898374753,45.61714259773221,39.70127685949963,18.027531547267007,22.09275673908138,0.4850887229958555,56.437356956573055,56.572036027030556,1.3651649260720238,1.2116891763290492,1.066596582475549,0.48165637524070615,0.6001924742755916,0.48165637524070615,0.6001924742755916,18.027531547267007,22.09275673908138,24.115825909198726,24.115825909198726,15.978409602304474,17.733173719122558,13.185367544724796,6.760895476115715,23.818416612944,9.620261870353344,5.785633112409765,1.6178905429722832,0.2288768655077871,1.8225826255111552,0.15290226446643637,1.755010634383742,0.18285521988863226,1.3136630987963085,0.2929746116328507,1.4445635825995773,0.2767242565958798,0.5287725342777351,0.2671227587591334,0.10850219658596523,9.620261870353344,21.233491078882604,1.5901830930306773,0.22687665942584373,0.47995817825565856,0.2671227587591334,0.1092278353171094,0.13991284203298862,0.4226704320509007,0.5287725342777351,0.31625426029101106,1.0859769084652557,0.24376864931957914,0.15285001775810889,0.07306801303681376,0.08214297371780309,0.06009758175581331,0.0977769736430684,0.0551501491656222
